#Chromosome,GapStart,GapStop,RegionID,MeanGapCoverage,RegionInterval,GapInterval
chr1,1634904,1634974,CDK11A.chr1.1634915.1635063,14.2,chr1:1634904-1635073,chr1:1634904-1634974
chr1,1634983,1635073,CDK11A.chr1.1634915.1635063,16.1,chr1:1634904-1635073,chr1:1634983-1635073
chr1,1635252,1635294,CDK11A.chr1.1635263.1635379,16.0,chr1:1635252-1635389,chr1:1635252-1635294
chr1,1635317,1635358,CDK11A.chr1.1635263.1635379,18.2,chr1:1635252-1635389,chr1:1635317-1635358
chr1,1635467,1635489,CDK11A.chr1.1635478.1635585,17.8,chr1:1635467-1635595,chr1:1635467-1635489
chr1,1635514,1635532,CDK11A.chr1.1635478.1635585,18.3,chr1:1635467-1635595,chr1:1635514-1635532
chr1,1635536,1635564,CDK11A.chr1.1635478.1635585,17.5,chr1:1635467-1635595,chr1:1635536-1635564
chr1,1635578,1635584,CDK11A.chr1.1635478.1635585,19.0,chr1:1635467-1635595,chr1:1635578-1635584
chr1,1637070,1637084,CDK11A.chr1.1637081.1637171,16.3,chr1:1637070-1637181,chr1:1637070-1637084
chr1,1638837,1638873,CDK11A.chr1.1638848.1639023,17.0,chr1:1638837-1639033,chr1:1638837-1638873
chr1,1638886,1638900,CDK11A.chr1.1638848.1639023,18.2,chr1:1638837-1639033,chr1:1638886-1638900
chr1,1640466,1640582,CDK11A.chr1.1640477.1640572,12.2,chr1:1640466-1640582,chr1:1640466-1640582
chr1,1640946,1640956,CDK11A.chr1.1640957.1641079,17.1,chr1:1640946-1641089,chr1:1640946-1640956
chr1,1641057,1641061,CDK11A.chr1.1640957.1641079,19.0,chr1:1640946-1641089,chr1:1641057-1641061
chr1,1641070,1641089,CDK11A.chr1.1640957.1641079,17.5,chr1:1640946-1641089,chr1:1641070-1641089
chr1,1643846,1643849,CDK11A.chr1.1643703.1643839,14.8,chr1:1643692-1643849,chr1:1643846-1643849
chr1,1653024,1653053,CDK11A.chr1.1653035.1653150,15.1,chr1:1653024-1653160,chr1:1653024-1653053
chr1,1654136,1654176,CDK11A.chr1.1654147.1654257,15.8,chr1:1654136-1654267,chr1:1654136-1654176
chr1,1654250,1654257,CDK11A.chr1.1654147.1654257,19.0,chr1:1654136-1654267,chr1:1654250-1654257
chr1,1654259,1654267,CDK11A.chr1.1654147.1654257,19.0,chr1:1654136-1654267,chr1:1654259-1654267
chr1,1950852,1950940,GABRD.chr1.1950863.1950930,1.7,chr1:1950852-1950940,chr1:1950852-1950940
chr1,1956946,1956948,GABRD.chr1.1956957.1957177,18.0,chr1:1956946-1957187,chr1:1956946-1956948
chr1,1957112,1957113,GABRD.chr1.1956957.1957177,19.0,chr1:1956946-1957187,chr1:1957112-1957113
chr1,1957123,1957187,GABRD.chr1.1956957.1957177,14.8,chr1:1956946-1957187,chr1:1957123-1957187
chr1,1959024,1959024,GABRD.chr1.1959016.1959098,19.0,chr1:1959005-1959108,chr1:1959024-1959024
chr1,1959033,1959108,GABRD.chr1.1959016.1959098,16.0,chr1:1959005-1959108,chr1:1959033-1959108
chr1,1959583,1959741,GABRD.chr1.1959594.1959731,12.8,chr1:1959583-1959741,chr1:1959583-1959741
chr1,1960539,1960715,GABRD.chr1.1960550.1960705,3.1,chr1:1960539-1960715,chr1:1960539-1960715
chr1,1960979,1961000,GABRD.chr1.1960990.1961201,16.0,chr1:1960979-1961211,chr1:1960979-1961000
chr1,1961411,1961442,GABRD.chr1.1961422.1961718,17.4,chr1:1961411-1961728,chr1:1961411-1961442
chr1,1961458,1961473,GABRD.chr1.1961422.1961718,18.0,chr1:1961411-1961728,chr1:1961458-1961473
chr1,1961492,1961504,GABRD.chr1.1961422.1961718,18.9,chr1:1961411-1961728,chr1:1961492-1961504
chr1,1961552,1961557,GABRD.chr1.1961422.1961718,18.7,chr1:1961411-1961728,chr1:1961552-1961557
chr1,1961561,1961565,GABRD.chr1.1961422.1961718,19.0,chr1:1961411-1961728,chr1:1961561-1961565
chr1,1961592,1961728,GABRD.chr1.1961422.1961718,14.7,chr1:1961411-1961728,chr1:1961592-1961728
chr1,2160195,2160462,SKI.chr1.2160205.2161174,9.8,chr1:2160195-2161184,chr1:2160195-2160462
chr1,2160781,2160832,SKI.chr1.2160205.2161174,15.7,chr1:2160195-2161184,chr1:2160781-2160832
chr1,2160843,2160846,SKI.chr1.2160205.2161174,19.0,chr1:2160195-2161184,chr1:2160843-2160846
chr1,2234803,2234849,SKI.chr1.2234723.2234839,11.1,chr1:2234713-2234849,chr1:2234803-2234849
chr1,2235268,2235312,SKI.chr1.2235278.2235541,13.0,chr1:2235268-2235551,chr1:2235268-2235312
chr1,2235494,2235551,SKI.chr1.2235278.2235541,13.3,chr1:2235268-2235551,chr1:2235494-2235551
chr1,2235994,2236034,SKI.chr1.2235731.2236024,13.5,chr1:2235721-2236034,chr1:2235994-2236034
chr1,2238005,2238214,SKI.chr1.2238015.2238204,6.4,chr1:2238005-2238214,chr1:2238005-2238214
chr1,2343819,2343951,PEX10.chr1.2343829.2343941,2.7,chr1:2343819-2343951,chr1:2343819-2343951
chr1,2523360,2523476,MMEL1.chr1.2523371.2523466,15.7,chr1:2523360-2523476,chr1:2523360-2523476
chr1,2525242,2525244,MMEL1.chr1.2525253.2525372,17.3,chr1:2525242-2525382,chr1:2525242-2525244
chr1,2526704,2526808,MMEL1.chr1.2526715.2526798,10.4,chr1:2526704-2526808,chr1:2526704-2526808
chr1,2527437,2527556,MMEL1.chr1.2527448.2527546,12.1,chr1:2527437-2527556,chr1:2527437-2527556
chr1,2527989,2528138,MMEL1.chr1.2528000.2528128,5.0,chr1:2527989-2528138,chr1:2527989-2528138
chr1,2529741,2529749,MMEL1.chr1.2529646.2529739,17.8,chr1:2529635-2529749,chr1:2529741-2529749
chr1,2535363,2535365,MMEL1.chr1.2535323.2535412,19.0,chr1:2535312-2535422,chr1:2535363-2535365
chr1,2535404,2535404,MMEL1.chr1.2535323.2535412,19.0,chr1:2535312-2535422,chr1:2535404-2535404
chr1,2535409,2535418,MMEL1.chr1.2535323.2535412,18.2,chr1:2535312-2535422,chr1:2535409-2535418
chr1,2535656,2535658,MMEL1.chr1.2535586.2535720,19.0,chr1:2535575-2535730,chr1:2535656-2535658
chr1,2535698,2535730,MMEL1.chr1.2535586.2535720,16.8,chr1:2535575-2535730,chr1:2535698-2535730
chr1,2536986,2537072,MMEL1.chr1.2536997.2537062,11.9,chr1:2536986-2537072,chr1:2536986-2537072
chr1,2537676,2537676,MMEL1.chr1.2537687.2537805,18.0,chr1:2537676-2537815,chr1:2537676-2537676
chr1,2537760,2537815,MMEL1.chr1.2537687.2537805,13.3,chr1:2537676-2537815,chr1:2537760-2537815
chr1,2538402,2538421,MMEL1.chr1.2538413.2538508,12.4,chr1:2538402-2538518,chr1:2538402-2538421
chr1,2542709,2542789,MMEL1.chr1.2542720.2542779,7.9,chr1:2542709-2542789,chr1:2542709-2542789
chr1,2560759,2560839,MMEL1.chr1.2560770.2560923,13.0,chr1:2560759-2560933,chr1:2560759-2560839
chr1,2560888,2560933,MMEL1.chr1.2560770.2560923,15.2,chr1:2560759-2560933,chr1:2560888-2560933
chr1,3598919,3598993,TP73.chr1.3598930.3598994,11.5,chr1:3598919-3599004,chr1:3598919-3598993
chr1,3599000,3599004,TP73.chr1.3598930.3598994,19.0,chr1:3598919-3599004,chr1:3599000-3599004
chr1,3646653,3646722,TP73.chr1.3646564.3646712,12.6,chr1:3646553-3646722,chr1:3646653-3646722
chr1,5924387,5924587,NPHP4.chr1.5924397.5924577,11.1,chr1:5924387-5924587,chr1:5924387-5924587
chr1,5925275,5925343,NPHP4.chr1.5925161.5925333,6.9,chr1:5925151-5925343,chr1:5925275-5925343
chr1,5927079,5927091,NPHP4.chr1.5927089.5927175,18.6,chr1:5927079-5927185,chr1:5927079-5927091
chr1,5927183,5927185,NPHP4.chr1.5927089.5927175,16.0,chr1:5927079-5927185,chr1:5927183-5927185
chr1,5927949,5927966,NPHP4.chr1.5927799.5927956,15.2,chr1:5927789-5927966,chr1:5927949-5927966
chr1,5935125,5935139,NPHP4.chr1.5934933.5935160,17.6,chr1:5934923-5935170,chr1:5935125-5935139
chr1,5935145,5935170,NPHP4.chr1.5934933.5935160,12.7,chr1:5934923-5935170,chr1:5935145-5935170
chr1,5937142,5937368,NPHP4.chr1.5937152.5937358,11.9,chr1:5937142-5937368,chr1:5937142-5937368
chr1,5947335,5947392,NPHP4.chr1.5947345.5947526,15.7,chr1:5947335-5947536,chr1:5947335-5947392
chr1,5950917,5950919,NPHP4.chr1.5950927.5951088,16.0,chr1:5950917-5951098,chr1:5950917-5950919
chr1,5950934,5950946,NPHP4.chr1.5950927.5951088,18.2,chr1:5950917-5951098,chr1:5950934-5950946
chr1,5951056,5951098,NPHP4.chr1.5950927.5951088,15.2,chr1:5950917-5951098,chr1:5951056-5951098
chr1,5967164,5967292,NPHP4.chr1.5967174.5967282,11.2,chr1:5967164-5967292,chr1:5967164-5967292
chr1,5993196,5993251,NPHP4.chr1.5993206.5993389,12.0,chr1:5993196-5993399,chr1:5993196-5993251
chr1,6008293,6008321,NPHP4.chr1.6008129.6008311,17.4,chr1:6008119-6008321,chr1:6008293-6008321
chr1,6012872,6012876,NPHP4.chr1.6012759.6012896,18.2,chr1:6012749-6012906,chr1:6012872-6012876
chr1,6012878,6012906,NPHP4.chr1.6012759.6012896,18.3,chr1:6012749-6012906,chr1:6012878-6012906
chr1,6021959,6022019,NPHP4.chr1.6021853.6022009,13.9,chr1:6021843-6022019,chr1:6021959-6022019
chr1,6029277,6029290,NPHP4.chr1.6029146.6029319,17.9,chr1:6029136-6029329,chr1:6029277-6029290
chr1,6029302,6029329,NPHP4.chr1.6029146.6029319,12.9,chr1:6029136-6029329,chr1:6029302-6029329
chr1,6038481,6038483,NPHP4.chr1.6038329.6038473,16.0,chr1:6038319-6038483,chr1:6038481-6038483
chr1,6100707,6100715,KCNAB2.chr1.6100629.6100705,14.0,chr1:6100618-6100715,chr1:6100707-6100715
chr1,6156818,6156819,KCNAB2.chr1.6156696.6156816,19.0,chr1:6156685-6156826,chr1:6156818-6156819
chr1,6156821,6156826,KCNAB2.chr1.6156696.6156816,17.7,chr1:6156685-6156826,chr1:6156821-6156826
chr1,6485005,6485156,ESPN.chr1.6485015.6485309,13.3,chr1:6485005-6485319,chr1:6485005-6485156
chr1,6485158,6485162,ESPN.chr1.6485015.6485309,19.0,chr1:6485005-6485319,chr1:6485158-6485162
chr1,6485166,6485166,ESPN.chr1.6485015.6485309,19.0,chr1:6485005-6485319,chr1:6485166-6485166
chr1,6485168,6485173,ESPN.chr1.6485015.6485309,19.0,chr1:6485005-6485319,chr1:6485168-6485173
chr1,6485184,6485199,ESPN.chr1.6485015.6485309,18.5,chr1:6485005-6485319,chr1:6485184-6485199
chr1,6488426,6488489,ESPN.chr1.6488285.6488479,13.3,chr1:6488275-6488489,chr1:6488426-6488489
chr1,6500303,6500339,ESPN.chr1.6500313.6500500,11.6,chr1:6500303-6500510,chr1:6500303-6500339
chr1,6500344,6500347,ESPN.chr1.6500313.6500500,19.0,chr1:6500303-6500510,chr1:6500344-6500347
chr1,6500507,6500510,ESPN.chr1.6500313.6500500,19.0,chr1:6500303-6500510,chr1:6500507-6500510
chr1,6500675,6500878,ESPN.chr1.6500685.6500868,6.7,chr1:6500675-6500878,chr1:6500675-6500878
chr1,6508784,6509161,ESPN.chr1.6508700.6509151,5.5,chr1:6508690-6509161,chr1:6508784-6509161
chr1,6511778,6511818,ESPN.chr1.6511662.6511808,14.5,chr1:6511652-6511818,chr1:6511778-6511818
chr1,6511882,6511886,ESPN.chr1.6511892.6512156,19.0,chr1:6511882-6512166,chr1:6511882-6511886
chr1,6512109,6512166,ESPN.chr1.6511892.6512156,14.7,chr1:6511882-6512166,chr1:6512109-6512166
chr1,6521486,6521614,TNFRSF25.chr1.6521497.6521822,12.1,chr1:6521486-6521832,chr1:6521486-6521614
chr1,6521653,6521657,TNFRSF25.chr1.6521497.6521822,19.0,chr1:6521486-6521832,chr1:6521653-6521657
chr1,6521702,6521704,TNFRSF25.chr1.6521497.6521822,18.7,chr1:6521486-6521832,chr1:6521702-6521704
chr1,6522043,6522076,TNFRSF25.chr1.6522054.6522234,11.3,chr1:6522043-6522244,chr1:6522043-6522076
chr1,6525614,6525630,TNFRSF25.chr1.6525500.6525620,15.1,chr1:6525489-6525630,chr1:6525614-6525630
chr1,6526118,6526177,TNFRSF25.chr1.6526129.6526167,6.5,chr1:6526118-6526177,chr1:6526118-6526177
chr1,6528062,6528074,PLEKHG5.chr1.6527884.6528646,19.0,chr1:6527874-6528656,chr1:6528062-6528074
chr1,6528084,6528092,PLEKHG5.chr1.6527884.6528646,18.3,chr1:6527874-6528656,chr1:6528084-6528092
chr1,6528097,6528148,PLEKHG5.chr1.6527884.6528646,17.5,chr1:6527874-6528656,chr1:6528097-6528148
chr1,6528159,6528196,PLEKHG5.chr1.6527884.6528646,17.1,chr1:6527874-6528656,chr1:6528159-6528196
chr1,6528200,6528203,PLEKHG5.chr1.6527884.6528646,19.0,chr1:6527874-6528656,chr1:6528200-6528203
chr1,6528656,6528656,PLEKHG5.chr1.6527884.6528646,17.0,chr1:6527874-6528656,chr1:6528656-6528656
chr1,6530555,6530558,PLEKHG5.chr1.6530565.6530703,19.0,chr1:6530555-6530713,chr1:6530555-6530558
chr1,6530569,6530569,PLEKHG5.chr1.6530565.6530703,19.0,chr1:6530555-6530713,chr1:6530569-6530569
chr1,6530575,6530597,PLEKHG5.chr1.6530565.6530703,18.8,chr1:6530555-6530713,chr1:6530575-6530597
chr1,6530602,6530602,PLEKHG5.chr1.6530565.6530703,19.0,chr1:6530555-6530713,chr1:6530602-6530602
chr1,6531537,6531707,PLEKHG5.chr1.6531547.6531697,8.5,chr1:6531537-6531707,chr1:6531537-6531707
chr1,6531807,6531878,PLEKHG5.chr1.6531817.6531868,14.3,chr1:6531807-6531878,chr1:6531807-6531878
chr1,6533225,6533244,PLEKHG5.chr1.6533045.6533234,18.7,chr1:6533035-6533244,chr1:6533225-6533244
chr1,6533300,6533374,PLEKHG5.chr1.6533310.6533514,18.0,chr1:6533300-6533524,chr1:6533300-6533374
chr1,6533391,6533524,PLEKHG5.chr1.6533310.6533514,11.1,chr1:6533300-6533524,chr1:6533391-6533524
chr1,6534062,6534077,PLEKHG5.chr1.6534072.6534224,18.4,chr1:6534062-6534234,chr1:6534062-6534077
chr1,6556542,6556639,PLEKHG5.chr1.6556552.6556629,2.0,chr1:6556542-6556639,chr1:6556542-6556639
chr1,6557369,6557393,PLEKHG5.chr1.6557379.6557383,2.0,chr1:6557369-6557393,chr1:6557369-6557393
chr1,6631173,6631178,TAS1R1.chr1.6630969.6631275,19.0,chr1:6630958-6631285,chr1:6631173-6631178
chr1,6631231,6631285,TAS1R1.chr1.6630969.6631275,17.3,chr1:6630958-6631285,chr1:6631231-6631285
chr1,6639618,6639651,TAS1R1.chr1.6638713.6639641,15.9,chr1:6638702-6639651,chr1:6639618-6639651
chr1,6845580,6845645,CAMTA1.chr1.6845591.6845635,7.9,chr1:6845580-6845645,chr1:6845580-6845645
chr1,6880230,6880231,CAMTA1.chr1.6880241.6880310,17.0,chr1:6880230-6880320,chr1:6880230-6880231
chr1,7151353,7151412,CAMTA1.chr1.7151364.7151431,17.6,chr1:7151353-7151441,chr1:7151353-7151412
chr1,7151421,7151441,CAMTA1.chr1.7151364.7151431,16.6,chr1:7151353-7151441,chr1:7151421-7151441
chr1,7724452,7724482,CAMTA1.chr1.7723413.7725259,19.0,chr1:7723402-7725269,chr1:7724452-7724482
chr1,7724495,7724606,CAMTA1.chr1.7723413.7725259,14.8,chr1:7723402-7725269,chr1:7724495-7724606
chr1,7724757,7724869,CAMTA1.chr1.7723413.7725259,16.5,chr1:7723402-7725269,chr1:7724757-7724869
chr1,7724979,7724988,CAMTA1.chr1.7723413.7725259,19.0,chr1:7723402-7725269,chr1:7724979-7724988
chr1,7724996,7725123,CAMTA1.chr1.7723413.7725259,12.8,chr1:7723402-7725269,chr1:7724996-7725123
chr1,7725251,7725269,CAMTA1.chr1.7723413.7725259,15.2,chr1:7723402-7725269,chr1:7725251-7725269
chr1,7792497,7792537,CAMTA1.chr1.7792508.7792659,13.8,chr1:7792497-7792669,chr1:7792497-7792537
chr1,7792666,7792669,CAMTA1.chr1.7792508.7792659,18.5,chr1:7792497-7792669,chr1:7792666-7792669
chr1,7796608,7796610,CAMTA1.chr1.7796404.7796600,19.0,chr1:7796393-7796610,chr1:7796608-7796610
chr1,7798008,7798073,CAMTA1.chr1.7798019.7798542,14.7,chr1:7798008-7798552,chr1:7798008-7798073
chr1,7806124,7806161,CAMTA1.chr1.7805905.7806151,16.6,chr1:7805894-7806161,chr1:7806124-7806161
chr1,7807759,7807851,CAMTA1.chr1.7807770.7807841,6.1,chr1:7807759-7807851,chr1:7807759-7807851
chr1,7811373,7811462,CAMTA1.chr1.7811259.7811452,13.0,chr1:7811248-7811462,chr1:7811373-7811462
chr1,7844927,7845075,PER3.chr1.7844938.7845065,12.9,chr1:7844927-7845075,chr1:7844927-7845075
chr1,7845656,7845656,PER3.chr1.7845501.7845646,19.0,chr1:7845490-7845656,chr1:7845656-7845656
chr1,7861222,7861261,PER3.chr1.7861173.7861251,13.7,chr1:7861162-7861261,chr1:7861222-7861261
chr1,7868942,7868944,PER3.chr1.7868953.7869058,18.3,chr1:7868942-7869068,chr1:7868942-7868944
chr1,7869033,7869068,PER3.chr1.7868953.7869058,16.7,chr1:7868942-7869068,chr1:7869033-7869068
chr1,7869942,7869945,PER3.chr1.7869953.7870081,18.3,chr1:7869942-7870091,chr1:7869942-7869945
chr1,7869950,7869964,PER3.chr1.7869953.7870081,19.0,chr1:7869942-7870091,chr1:7869950-7869964
chr1,7870051,7870091,PER3.chr1.7869953.7870081,15.4,chr1:7869942-7870091,chr1:7870051-7870091
chr1,7907818,7907856,UTS2.chr1.7907829.7907942,14.0,chr1:7907818-7907952,chr1:7907818-7907856
chr1,7907866,7907877,UTS2.chr1.7907829.7907942,18.8,chr1:7907818-7907952,chr1:7907866-7907877
chr1,7907943,7907952,UTS2.chr1.7907829.7907942,18.6,chr1:7907818-7907952,chr1:7907943-7907952
chr1,7909689,7909753,UTS2.chr1.7909700.7909743,15.9,chr1:7909689-7909753,chr1:7909689-7909753
chr1,8044943,8044954,PARK7.chr1.8044953.8045114,14.8,chr1:8044943-8045124,chr1:8044943-8044954
chr1,8927165,8927205,ENO1.chr1.8927176.8927309,17.2,chr1:8927165-8927319,chr1:8927165-8927205
chr1,8927214,8927226,ENO1.chr1.8927176.8927309,17.3,chr1:8927165-8927319,chr1:8927214-8927226
chr1,8930500,8930502,ENO1.chr1.8930511.8930569,18.0,chr1:8930500-8930579,chr1:8930500-8930502
chr1,9017185,9017242,CA6.chr1.9017196.9017344,12.3,chr1:9017185-9017354,chr1:9017185-9017242
chr1,9018958,9018968,CA6.chr1.9018969.9019061,19.0,chr1:9018958-9019071,chr1:9018958-9018968
chr1,9304983,9304986,H6PD.chr1.9304993.9305620,13.0,chr1:9304983-9305630,chr1:9304983-9304986
chr1,9322107,9322116,H6PD.chr1.9322117.9322387,18.1,chr1:9322107-9322397,chr1:9322107-9322116
chr1,9322381,9322397,H6PD.chr1.9322117.9322387,17.9,chr1:9322107-9322397,chr1:9322381-9322397
chr1,9770613,9770664,PIK3CD.chr1.9770513.9770654,10.9,chr1:9770503-9770664,chr1:9770613-9770664
chr1,9775896,9775931,PIK3CD.chr1.9775906.9776136,17.1,chr1:9775896-9776146,chr1:9775896-9775931
chr1,9776067,9776146,PIK3CD.chr1.9775906.9776136,10.3,chr1:9775896-9776146,chr1:9776067-9776146
chr1,9776487,9776507,PIK3CD.chr1.9776497.9776677,17.0,chr1:9776487-9776687,chr1:9776487-9776507
chr1,9776676,9776687,PIK3CD.chr1.9776497.9776677,17.3,chr1:9776487-9776687,chr1:9776676-9776687
chr1,9777584,9777618,PIK3CD.chr1.9777594.9777684,18.7,chr1:9777584-9777694,chr1:9777584-9777618
chr1,9777626,9777694,PIK3CD.chr1.9777594.9777684,15.6,chr1:9777584-9777694,chr1:9777626-9777694
chr1,9780709,9780726,PIK3CD.chr1.9780668.9780719,19.0,chr1:9780658-9780729,chr1:9780709-9780726
chr1,9782670,9782674,PIK3CD.chr1.9782585.9782664,18.2,chr1:9782575-9782674,chr1:9782670-9782674
chr1,10035639,10035650,NMNAT1.chr1.10035650.10035833,18.0,chr1:10035639-10035843,chr1:10035639-10035650
chr1,10042652,10042656,NMNAT1.chr1.10042359.10042756,19.0,chr1:10042348-10042766,chr1:10042652-10042656
chr1,10042687,10042694,NMNAT1.chr1.10042359.10042756,19.0,chr1:10042348-10042766,chr1:10042687-10042694
chr1,10042703,10042766,NMNAT1.chr1.10042359.10042756,12.6,chr1:10042348-10042766,chr1:10042703-10042766
chr1,10316344,10316359,KIF1B.chr1.10316304.10316381,19.0,chr1:10316294-10316391,chr1:10316344-10316359
chr1,10316367,10316391,KIF1B.chr1.10316304.10316381,13.1,chr1:10316294-10316391,chr1:10316367-10316391
chr1,10318540,10318623,KIF1B.chr1.10318550.10318730,15.4,chr1:10318540-10318740,chr1:10318540-10318623
chr1,10318685,10318689,KIF1B.chr1.10318550.10318730,19.0,chr1:10318540-10318740,chr1:10318685-10318689
chr1,10318714,10318740,KIF1B.chr1.10318550.10318730,17.2,chr1:10318540-10318740,chr1:10318714-10318740
chr1,10327535,10327626,KIF1B.chr1.10327437.10327616,9.4,chr1:10327427-10327626,chr1:10327535-10327626
chr1,10338192,10338196,KIF1B.chr1.10338043.10338186,18.4,chr1:10338033-10338196,chr1:10338192-10338196
chr1,10342555,10342558,KIF1B.chr1.10342457.10342591,19.0,chr1:10342447-10342601,chr1:10342555-10342558
chr1,10342560,10342601,KIF1B.chr1.10342457.10342591,15.0,chr1:10342447-10342601,chr1:10342560-10342601
chr1,10351129,10351171,KIF1B.chr1.10351139.10351219,16.9,chr1:10351129-10351229,chr1:10351129-10351171
chr1,10351209,10351211,KIF1B.chr1.10351139.10351219,19.0,chr1:10351129-10351229,chr1:10351209-10351211
chr1,10351219,10351229,KIF1B.chr1.10351139.10351219,18.7,chr1:10351129-10351229,chr1:10351219-10351229
chr1,10356689,10356733,KIF1B.chr1.10356639.10356723,12.8,chr1:10356629-10356733,chr1:10356689-10356733
chr1,10356944,10357024,KIF1B.chr1.10356954.10357135,10.1,chr1:10356944-10357145,chr1:10356944-10357024
